timestamp,ppg_raw
1773652383.2860842,202832
1773652383.435783,203144
1773652383.495567,203829
1773652383.585537,204438
1773652383.675637,200720
1773652383.797408,200803
1773652383.886049,201597
1773652383.975601,201887
1773652384.095689,203347
1773652384.185444,204219
1773652384.275747,203278
1773652384.395495,200641
1773652384.485444,201269
1773652384.6055129,202044
1773652384.695442,202683
1773652384.785253,203816
1773652384.875561,204746
1773652384.9974039,201308
1773652385.0853581,201159
1773652385.175524,202390
1773652385.295725,202728
1773652385.4152708,203407
1773652385.4757051,204530
1773652385.6258008,204893
1773652385.6855118,201162
1773652385.805313,202021
1773652385.897485,202701
1773652386.017076,202900
1773652386.075688,203974
1773652386.195671,204695
1773652386.285266,200957
1773652386.3755388,201285
1773652386.525818,201975
1773652386.6154199,202013
1773652386.6752079,202987
1773652386.795281,204047
1773652386.885935,201625
1773652387.006071,200494
1773652387.0963469,201044
1773652387.185374,201589
1773652387.2755682,202373
1773652387.3976982,203473
1773652387.486387,204211
1773652387.57728,200370
1773652387.755386,200511
1773652387.815136,201326
1773652387.8759181,201574
1773652387.995757,202581
1773652388.115353,203595
1773652388.205885,203286
1773652388.2956312,200408
1773652388.385408,201003
1773652388.503256,201727
1773652388.595687,202278
1773652388.685303,203523
1773652388.805287,204151
1773652388.894954,201115
1773652389.01526,200972
1773652389.105762,201875
1773652389.223237,201960
1773652389.2857442,202921
1773652389.4058292,203850
1773652389.495952,204443
1773652389.615382,200407
1773652389.705801,200509
1773652389.8258848,201213
1773652389.8866198,201474
1773652390.0056949,202556
1773652390.097164,203476
1773652390.216845,202989
1773652390.335559,199936
1773652390.396439,200403
1773652390.486096,201039
1773652390.607616,201444
1773652390.7232819,202603
1773652390.816959,203782
1773652390.9075441,200652
1773652391.025822,200338
1773652391.087021,201133
1773652391.2059531,201560
1773652391.297672,202425
1773652391.415054,203290
1773652391.505833,202466
1773652391.5958881,200021
1773652391.686202,200604
1773652391.805662,201057
1773652391.925726,201740
1773652391.985562,202938
1773652392.105859,203668
1773652392.225631,199635
1773652392.2870479,199782
1773652392.405896,200302
1773652392.495723,200538
1773652392.617423,201642
1773652392.705873,202412
1773652392.825702,199676
1773652392.915982,198967
1773652393.005911,199375
1773652393.095716,199727
1773652393.2168021,200943
1773652393.3077362,202379
1773652393.425695,202533
1773652393.5162082,199083
1773652393.605651,199641
1773652393.69774,200279
1773652393.8149729,200729
1773652393.905261,201922
1773652394.025783,203079
1773652394.116086,199659
1773652394.235915,200088
1773652394.297688,200662
1773652394.416978,200882
1773652394.5056388,201853
1773652394.6259148,202662
1773652394.7160819,199693
1773652394.805954,199938
1773652394.927753,200503
1773652395.0150661,200702
1773652395.105718,201719
1773652395.195864,202428
1773652395.3170948,200332
1773652395.435992,199730
1773652395.495842,199999
1773652395.6153998,200329
1773652395.706014,200706
1773652395.8277628,201666
1773652395.9469151,202183
1773652396.00598,199815
1773652396.125346,200114
1773652396.215125,200401
1773652396.305592,200677
1773652396.396876,201271
1773652396.514931,201946
1773652396.665761,201459
1773652396.695752,200359
1773652396.8151119,200716
1773652396.9057689,201176
1773652397.027673,201576
1773652397.116224,202623
1773652397.205945,203278
1773652397.325292,200852
1773652397.414749,201187
1773652397.505889,201775
1773652397.625909,201790
1773652397.714954,202618
1773652397.8359501,203353
1773652397.927851,202085
1773652398.0176268,200999
1773652398.107764,201440
1773652398.225503,201832
1773652398.315125,202303
1773652398.406023,203155
1773652398.525782,203871
1773652398.646632,201097
1773652398.7055192,201165
1773652398.8258612,201658
1773652398.9174411,201858
1773652399.037847,202765
1773652399.127808,203459
1773652399.216005,203492
1773652399.3057659,201180
1773652399.4258828,201665
1773652399.514872,202022
1773652399.606078,202388
1773652399.7258508,203142
1773652399.846098,203790
1773652399.905973,201407
1773652400.0279071,201844
1773652400.116908,202250
1773652400.2359948,202455
1773652400.325848,203097
1773652400.415135,203806
1773652400.5061388,201084
1773652400.6534379,201255
1773652400.716351,201680
1773652400.865834,201918
1773652400.9259799,202501
1773652401.0470479,203087
1773652401.135988,201150
1773652401.255136,200598
1773652401.315628,200877
1773652401.4635541,201204
1773652401.526081,201634
1773652401.6160169,202383
1773652401.737834,201865
1773652401.886258,200166
1773652402.003349,200515
1773652402.035818,201028
1773652402.2471302,201336
1773652402.247424,202111
1773652402.4260218,202666
1773652402.428349,200333
1773652402.5152462,200220
1773652402.635898,200470
1773652402.725899,200461
1773652402.8461282,201368
1773652402.935822,202019
1773652403.1159759,201006
1773652403.145952,199869
