timestamp,ppg_raw
1773387547.192518,198968
1773387547.283186,198944
1773387547.37438,198812
1773387547.494299,198972
1773387547.582431,198924
1773387547.67243,198884
1773387547.794642,199045
1773387547.8843899,198976
1773387547.974195,199130
1773387548.0923378,199008
1773387548.182283,199013
1773387548.2734709,198881
1773387548.3923452,198882
1773387548.4833422,198801
1773387548.602685,198825
1773387548.694317,198969
1773387548.784253,199074
1773387548.87335,199161
1773387548.992295,199236
1773387549.0843048,198968
1773387549.174331,198953
1773387549.292462,198893
1773387549.382424,198943
1773387549.502628,198787
1773387549.594183,198935
1773387549.682391,198805
1773387549.8027148,198808
1773387549.892288,198761
1773387549.982523,199391
1773387550.102292,199152
1773387550.192348,199237
1773387550.2824252,199269
1773387550.4024918,199221
1773387550.492474,199131
1773387550.5824409,199071
1773387550.702388,199127
1773387550.793464,199083
1773387550.883338,199134
1773387551.002881,199209
1773387551.093506,199198
1773387551.1821089,199323
1773387551.302837,199376
1773387551.4199529,199136
1773387551.4825358,199062
1773387551.602495,199123
1773387551.692349,199171
1773387551.782573,199199
1773387551.902526,199218
1773387551.992558,199197
1773387552.112416,199109
1773387552.202521,199098
1773387552.292332,199030
1773387552.3824708,199099
1773387552.50435,199273
1773387552.594429,199062
1773387552.6825101,199106
1773387552.8024719,198998
1773387552.894432,199159
1773387552.983572,199205
1773387553.1025028,199107
1773387553.192367,199092
1773387553.312459,199092
1773387553.402559,199278
1773387553.4925141,199257
1773387553.582567,199136
1773387553.7022889,199145
1773387553.7924612,199060
1773387553.882526,199085
1773387554.002369,199060
1773387554.092541,199098
1773387554.2135491,199049
1773387554.3034291,199016
1773387554.392538,199054
1773387554.512487,198937
1773387554.60235,198959
1773387554.692533,198903
1773387554.843492,199022
1773387554.902542,198989
1773387554.99358,198894
1773387555.113452,199010
1773387555.204382,198989
1773387555.323115,198913
1773387555.4125912,198974
1773387555.5035279,198989
1773387555.594412,198988
1773387555.714368,199127
1773387555.8044019,199007
1773387555.894428,199068
1773387556.013304,198933
1773387556.10254,199041
1773387556.1923149,198939
1773387556.3134348,199054
1773387556.402542,198931
1773387556.523273,199008
1773387556.612524,199009
1773387556.732887,198912
1773387556.794467,198850
1773387556.912592,198946
1773387557.0025358,198924
1773387557.092483,198917
1773387557.214444,198870
1773387557.30435,198869
1773387557.39341,198866
1773387557.512712,198969
1773387557.604459,198994
1773387557.723839,198810
1773387557.814432,198740
1773387557.9344451,198916
1773387558.0523672,199062
1773387558.113558,198968
1773387558.2026088,199173
1773387558.293451,199022
1773387558.412626,198977
1773387558.502389,198882
1773387558.622607,198864
1773387558.712626,199091
1773387558.8025,198993
1773387558.922633,198998
1773387559.0444689,198966
1773387559.102746,198855
1773387559.2226481,198979
1773387559.313631,198890
1773387559.403303,198865
1773387559.523455,198849
1773387559.612635,198714
1773387559.7024908,198933
1773387559.824404,198850
1773387559.9126139,198886
1773387560.0033228,198795
1773387560.152607,198820
1773387560.212655,198892
1773387560.302537,198750
1773387560.422645,198982
1773387560.512778,198816
1773387560.6025212,198717
1773387560.722657,198812
1773387560.8118532,198979
1773387560.932197,198794
1773387561.023146,198852
1773387561.113535,198820
1773387561.2028549,198799
1773387561.322693,198783
1773387561.4146,198761
1773387561.503288,198785
1773387561.623627,198751
1773387561.712677,198722
1773387561.8035772,198777
1773387561.924107,198741
1773387562.024986,198868
1773387562.131773,198713
1773387562.25222,198832
1773387562.3124769,198899
1773387562.402263,198831
1773387562.522549,198852
1773387562.612261,198704
1773387562.70351,198841
1773387562.8226602,198805
1773387562.912555,198740
1773387563.003347,198939
1773387563.122675,198745
1773387563.212659,198826
1773387563.332264,198709
1773387563.422614,198695
1773387563.5137558,198570
1773387563.632326,198667
1773387563.722479,198715
1773387563.8125088,198724
1773387563.932037,198656
1773387564.023206,198697
1773387564.113488,198737
1773387564.233103,198582
1773387564.3225532,198747
1773387564.414572,198703
1773387564.534025,198666
1773387564.6245272,198617
1773387564.71453,198534
1773387564.862269,198546
1773387564.923608,198536
1773387565.012581,198537
1773387565.1337962,198502
1773387565.223618,198562
1773387565.344564,198504
1773387565.432317,198578
1773387565.5226681,198534
1773387565.614634,198503
1773387565.7341208,198547
1773387565.8226829,198530
1773387565.912647,198642
1773387566.0324469,198549
1773387566.123672,198492
1773387566.214327,198508
1773387566.3341172,198431
1773387566.422685,198533
1773387566.5424042,198361
1773387566.634549,198493
1773387566.7244911,198587
1773387566.8126621,198420
1773387566.962246,198587
1773387567.024562,198519
