timestamp,spo2,pr
1773652419.077046,97,86
1773652419.253439,97,85
1773652419.2544708,97,85
1773652419.404452,97,85
1773652419.5859442,97,85
1773652419.586227,97,85
1773652419.73455,97,85
1773652419.79601,97,85
1773652419.91769,97,85
1773652419.975913,97,85
1773652420.123447,97,85
1773652420.366418,97,85
1773652420.4234319,97,85
1773652420.424968,97,85
1773652420.455061,97,85
1773652420.693323,97,85
1773652420.723199,97,85
1773652420.7558022,97,85
1773652420.8771572,97,85
1773652421.026747,97,85
1773652421.087001,97,85
1773652421.177084,97,85
1773652421.293634,97,85
1773652421.476146,97,85
1773652421.537842,97,85
1773652421.5678551,97,85
1773652421.773473,97,85
1773652421.805753,97,85
1773652422.01422,97,85
1773652422.135914,97,85
1773652422.138562,97,85
1773652422.197876,97,85
1773652422.316092,97,85
1773652422.587189,97,85
1773652422.587488,97,85
1773652422.6165261,97,85
1773652422.675976,97,85
1773652422.7934852,97,85
1773652422.886091,97,85
1773652422.975646,97,85
1773652423.097931,97,85
1773652423.1859012,97,85
1773652423.2771142,97,85
1773652423.366024,97,85
1773652423.4861078,97,85
1773652423.575812,97,86
1773652423.666134,97,86
1773652423.787955,97,86
1773652423.905927,97,86
1773652423.966155,97,86
1773652424.0869231,97,86
1773652424.175997,97,86
1773652424.296235,97,86
1773652424.3861692,97,86
1773652424.476233,97,86
1773652424.566167,97,86
1773652424.686066,97,86
1773652424.778007,97,86
1773652424.866148,97,86
1773652424.9861279,97,86
1773652425.105952,97,86
1773652425.167966,97,87
1773652425.286068,97,87
1773652425.3760462,97,87
1773652425.4961548,97,87
1773652425.5861518,97,87
1773652425.675967,97,87
1773652425.76797,97,87
1773652425.88705,97,87
1773652425.975957,97,87
1773652426.065983,97,87
1773652426.187945,97,87
1773652426.323617,97,87
1773652426.365773,97,87
1773652426.485991,97,87
1773652426.575754,97,87
1773652426.696247,97,87
1773652426.788002,97,88
1773652426.878057,97,88
1773652426.996114,97,88
1773652427.086234,97,88
1773652427.176041,97,88
1773652427.29656,97,88
1773652427.387975,97,88
1773652427.5059268,97,88
1773652427.596294,96,88
1773652427.686039,96,88
1773652427.775894,96,88
1773652427.8961122,96,88
1773652427.986154,96,88
1773652428.076019,96,88
1773652428.1962082,96,88
1773652428.3180292,96,88
1773652428.3760798,96,88
1773652428.4962099,96,88
1773652428.586186,96,88
1773652428.705936,96,88
1773652428.795743,96,88
1773652428.886247,96,88
1773652428.976384,96,88
1773652429.126286,96,88
1773652429.1861792,96,88
1773652429.275969,96,88
1773652429.3962681,96,88
1773652429.518052,96,88
1773652429.575964,96,88
1773652429.6962922,96,88
1773652429.786168,96,88
1773652429.907261,96,88
1773652429.99633,96,88
1773652430.0864499,96,88
1773652430.176085,96,88
1773652430.296166,96,88
1773652430.3879738,96,88
1773652430.4759412,96,88
1773652430.596204,96,88
1773652430.7161,96,88
1773652430.776007,96,87
1773652430.896348,96,87
1773652430.986636,96,87
1773652431.1080792,96,87
1773652431.196228,97,87
1773652431.2861671,97,87
1773652431.407179,97,87
1773652431.4972868,97,87
1773652431.586981,97,87
1773652431.70591,97,87
1773652431.7963479,97,87
1773652431.916092,97,87
1773652432.006183,97,87
1773652432.098117,97,87
1773652432.188158,97,87
1773652432.306077,97,87
1773652432.396317,97,87
1773652432.487242,97,87
1773652432.6060338,97,87
1773652432.72641,97,87
1773652432.816122,97,86
1773652432.906108,97,86
1773652432.996358,97,86
1773652433.116288,97,86
1773652433.206147,97,86
1773652433.326354,97,86
1773652433.385536,97,86
1773652433.508097,97,86
1773652433.5960152,97,86
1773652433.6872,97,86
1773652433.866098,97,86
1773652433.926049,97,86
1773652433.986238,97,86
1773652434.107233,97,86
1773652434.196401,97,86
1773652434.316097,97,86
1773652434.406373,97,85
1773652434.4963899,97,85
1773652434.5861828,97,85
1773652434.7062101,97,85
1773652434.7963789,97,85
1773652434.916322,97,85
1773652435.0061991,97,85
1773652435.1264,97,85
1773652435.1882188,97,85
1773652435.307373,97,85
1773652435.395732,97,85
