display_threshold,suppress_threshold,DISPLAY,WARNING,SUPPRESS
0.65,0.3,233,305,55
0.65,0.35,233,257,103
0.65,0.4,233,228,132
0.65,0.45,233,177,183
0.7,0.3,185,353,55
0.7,0.35,185,305,103
0.7,0.4,185,276,132
0.7,0.45,185,225,183
0.75,0.3,130,408,55
0.75,0.35,130,360,103
0.75,0.4,130,331,132
0.75,0.45,130,280,183
0.8,0.3,49,489,55
0.8,0.35,49,441,103
0.8,0.4,49,412,132
0.8,0.45,49,361,183
