timestamp,ppg_raw,t,diff,artifact,ppg_quality,dc,ac,pi,pi_score,bpm_stability,motion_score,final_reliability,classification
1773652383.2860842,202832,0.0,,0,1.0,202832.0,0.0,0.0,0.0,1.0,0.9534000238407129,0.7860200071522139,VALID
1773652383.435783,203144,0.14969873428344727,312.0,0,1.0,202988.0,156.0,0.0007685183360592744,0.004606221250027222,1.0,0.9630759942106734,0.7898440425132074,VALID
1773652383.495567,203829,0.20948290824890137,685.0,0,1.0,203268.33333333334,560.666666666657,0.002758258787645183,0.20530441268955754,1.0,0.9612550539432043,0.8294373987208729,VALID
1773652383.585537,204438,0.2994527816772461,609.0,0,1.0,203560.75,877.25,0.004309524306625909,0.36177516436663576,1.0,0.9623388550329001,0.8610566893831971,VALID
1773652383.675637,200720,0.3895528316497803,3718.0,0,1.0,202992.6,-2272.600000000006,0.011195482002792249,1.0,1.0,0.9630913144220034,0.9889273943266009,VALID
1773652383.797408,200803,0.5113239288330078,83.0,0,1.0,202627.66666666666,-1824.666666666657,0.009005022348050482,0.835393702940676,1.0,0.9634178778281733,0.9561041039365872,VALID
1773652383.886049,201597,0.5999648571014404,794.0,0,1.0,202480.42857142858,-883.4285714285797,0.0043630319120790215,0.367172290225006,1.0,0.9651586632663128,0.862982057024895,VALID
1773652383.975601,201887,0.6895167827606201,290.0,0,1.0,202406.25,-519.25,0.0025653852092017908,0.18584992638245848,1.0,0.9671420895472521,0.8273126121406674,VALID
1773652384.095689,203347,0.8096048831939697,1460.0,0,1.0,202510.77777777778,836.222222222219,0.004129272680685841,0.34359381046121934,1.0,0.9667769688396922,0.8587518527441514,VALID
1773652384.185444,204219,0.899359941482544,872.0,0,1.0,202681.6,1537.3999999999942,0.00758529634658496,0.6921908843988406,1.0,0.9675601717208503,0.9287062283960232,VALID
1773652384.275747,203278,0.9896628856658936,941.0,0,1.0,202735.81818181818,542.1818181818235,0.0026743267324157898,0.19683847851461742,0.9997866554604281,0.9686127176017102,0.8299301765294794,VALID
1773652384.395495,200641,1.1094107627868652,2637.0,0,1.0,202561.25,-1920.25,0.009479848687742596,0.8832877825670432,0.9995037460166651,0.9691476972239398,0.9673522402822571,VALID
1773652384.485444,201269,1.1993598937988281,628.0,0,1.0,202461.84615384616,-1192.846153846156,0.005891708371263884,0.5213645620914458,0.9992912373757323,0.9673884801490124,0.8944185802005661,VALID
1773652384.6055129,202044,1.3194286823272705,775.0,0,1.0,202432.0,-388.0,0.0019166930129623774,0.12041860317524365,0.9990075697651443,0.9667757083083967,0.8140171901040821,VALID
1773652384.695442,202683,1.4093577861785889,639.0,0,1.0,202448.73333333334,234.2666666666628,0.0011571653860680915,0.04380769598654793,0.9987951084392288,0.9630159144144904,0.7975458243655796,VALID
1773652384.785253,203816,1.499168872833252,1133.0,0,1.0,202534.1875,1281.8125,0.00632886978648975,0.5654595119292732,0.998582925933951,0.9604365770530255,0.9010811680951574,VALID
1773652384.875561,204746,1.5894768238067627,930.0,0,1.0,202664.29411764705,2081.7058823529514,0.010271695324606697,0.9631585957625188,0.9983695695656248,0.9578323960059033,0.9798183949108372,VALID
1773652384.997404,201308,1.711319923400879,3438.0,0,1.0,202588.94444444444,-1280.944444444438,0.006322874369858365,0.5648547751286084,0.8822912058078836,0.9573652617173575,0.8884096541217172,VALID
1773652385.085358,201159,1.7992737293243408,149.0,0,1.0,202513.68421052632,-1354.6842105263204,0.0066893465288895585,0.6018195458211265,0.7984987390053203,0.9572426530853086,0.88738657899035,VALID
1773652385.175524,202390,1.8894398212432861,1231.0,0,1.0,202507.5,-117.5,0.0005802254237497376,0.0,0.7125986556091598,0.9564218850873815,0.7581864310871305,VALID
1773652385.295725,202728,2.00964093208313,338.0,0,1.0,202518.0,210.0,0.0010369448641602227,0.03168147052754667,0.5980845935520441,0.9599397224512295,0.7541266701960826,VALID
1773652385.4152708,203407,2.1291866302490234,679.0,0,1.0,202558.4090909091,848.5909090909117,0.00418936401060526,0.3496550136831828,0.4841949347728461,0.9616652891437162,0.806850082957036,VALID
1773652385.4757051,204530,2.1896209716796875,1123.0,0,1.0,202644.13043478262,1885.8695652173774,0.009306312308040477,0.865783772168391,0.4266199100778332,0.9621514606896469,0.9044641836483556,VALID
1773652385.6258008,204893,2.339716672897339,363.0,0,1.0,202737.83333333334,2155.166666666657,0.010630313204162635,0.9993311326315311,0.4298316564507232,0.9647744295518118,0.9322817210369221,VALID
1773652385.6855118,201162,2.399427652359009,3731.0,0,1.0,202674.8,-1512.7999999999884,0.007464174135116889,0.6799737086534197,0.4311093514156818,0.9657224726131985,0.8688224186562117,VALID
1773652385.805313,202021,2.519228935241699,859.0,0,1.0,202649.65384615384,-628.6538461538439,0.0031021708363296835,0.23999362360157833,0.4336728581160376,0.966717666263842,0.7813813104110721,VALID
1773652385.897485,202701,2.611400842666626,680.0,0,1.0,202651.55555555556,49.44444444443798,0.00024398749029529713,0.0,0.435645151705746,0.9633349300112392,0.7325649941739463,VALID
1773652386.017076,202900,2.730991840362549,199.0,0,1.0,202660.42857142858,239.57142857142026,0.0011821322507811743,0.04632601670010497,0.43820415872569524,0.9640150617832978,0.7422901377475799,VALID
1773652386.075688,203974,2.7896037101745605,1074.0,0,1.0,202705.72413793104,1268.2758620689565,0.006256734324907167,0.5581834590819076,0.43945833495292813,0.962909705050374,0.8444554368267866,VALID
1773652386.195671,204695,2.9095869064331055,721.0,0,1.0,202772.03333333333,1922.9666666666744,0.009483391940473093,0.8836451781330111,0.4420257342339531,0.9640738665191303,0.9101537690057366,VALID
1773652386.285266,200957,2.9991817474365234,3738.0,0,1.0,202713.48387096773,-1756.4838709677279,0.0086648595713829,0.8010826680427231,0.43473091150760673,0.9592105667080031,0.8914527947717062,VALID
1773652386.3755388,201285,3.0894546508789062,328.0,0,1.0,202668.84375,-1383.84375,0.006828103049263091,0.6158154329064064,0.4273808808559575,0.9599314737137042,0.8538806167809883,VALID
1773652386.525818,201975,3.239733934402466,690.0,0,1.0,202647.81818181818,-672.8181818181765,0.0033201353355530113,0.26197894372575736,0.4151451235236253,0.9547128972958921,0.7803241702862818,VALID
1773652386.61542,202013,3.329335927963257,38.0,0,1.0,202629.14705882352,-616.1470588235243,0.003040762238636162,0.2337995521657263,0.40784971843519774,0.9528290019056641,0.7733935828483642,VALID
1773652386.675208,202987,3.3891239166259766,974.0,0,1.0,202639.37142857144,347.6285714285623,0.001715503601189852,0.10012532771444396,0.40298177321006245,0.9529291738512876,0.7462019950192813,VALID
1773652386.795281,204047,3.5091967582702637,1060.0,0,1.0,202678.47222222222,1368.527777777781,0.006752210842981339,0.6081604503015329,0.39320542800721403,0.9380784744423802,0.8423761751937421,VALID
1773652386.885935,201625,3.59985089302063,2422.0,0,1.0,202650.0,-1025.0,0.005057981741919566,0.4372694598729563,0.3906701076498383,0.9260019877894381,0.8043214990764066,VALID
1773652387.006071,200494,3.719986915588379,1131.0,0,1.0,202593.26315789475,-2099.2631578947476,0.010361959352313944,0.9722632139545314,0.3873102685811748,0.9093166766841941,0.9059786726542821,VALID
1773652387.0963469,201044,3.810262680053711,550.0,0,1.0,202553.53846153847,-1509.5384615384683,0.007452540562874957,0.6788002707273445,0.3847855300895784,0.9004754126402459,0.8443812309465005,VALID
1773652387.185374,201589,3.899289846420288,545.0,0,1.0,202529.425,-940.4249999999884,0.004643399348020607,0.3954519773003557,0.3822957110882697,0.8912607755111766,0.7846981992222511,VALID
1773652387.2755682,202373,3.9894840717315674,784.0,0,1.0,202525.60975609755,-152.60975609754678,0.0007535331273972479,0.0030947154280414504,0.3797732529987506,0.8920156792018238,0.7062009721460305,VALID
