t,bpm,bpm_std_roll,bpm_stability
0.899359941482544,86.97202125828652,0.0,1.0
1.5894768238067627,86.9417942623404,0.021373713808401692,0.9983695695656248
2.1896209716796875,99.9759811249621,7.51658070595859,0.4266199100778332
2.9095869064331055,83.33727625675716,7.314621965767591,0.4420257342339531
3.5091967582702637,100.06506700342672,7.95461937462898,0.39320542800721403
4.111613988876343,99.59874477633265,8.17548103269033,0.37635765076467254
4.829268932342529,83.60563881885528,8.989496318923253,0.31426290632212905
5.519202709197998,86.96486824208513,8.446626310815061,0.35567413653992874
6.1197450160980225,99.90969713643926,8.071356394156778,0.3843004903271019
6.811079740524292,86.78863925111426,7.7672061028127795,0.4075016942019474
7.530874729156494,83.35706825913809,6.803834410635657,0.48098964957653734
8.12896990776062,100.31848131602058,8.02426158768628,0.387892978111809
8.819774866104126,86.8551959208213,8.039782361776115,0.38670902184347056
9.419788837432861,99.99767149943119,8.06299885784276,0.3849380202241015
10.021651983261108,99.69043696375807,8.2551042445553,0.37028382994574127
10.739698886871338,83.56000102267585,8.189666744791596,0.37527553574476913
11.33983063697815,99.97804646949805,8.126048489208904,0.3801284658912889
11.909779787063599,105.27254929848486,8.24187028174768,0.3712933435905086
12.660830974578857,79.88803026662015,11.211720715098195,0.14474710200222785
13.228846788406372,105.63086192212911,12.27270069878343,0.06381338729218577
13.91986083984375,86.82891451366876,11.587810072631738,0.11605823959562744
14.54986572265625,95.23735710133695,11.322734004071075,0.13627878214990907
15.239697933197021,86.97767237190179,9.861947555939318,0.24771054850118268
15.841723918914795,99.66347204841034,8.152550805306188,0.37810681522571965
16.56001377105713,83.53173836585205,6.723810210212897,0.4870940586195983
17.129050731658936,105.441305493662,8.989744166114283,0.31424400003345354
17.760963916778564,94.9497516634999,8.98212664921475,0.3148250797418607
18.329932689666748,105.45394204224891,9.112515964134081,0.30487871715520354
19.13993763923645,74.07362144129331,13.793692332059582,0.0
19.64973783493042,117.69316784652172,16.34734596428801,0.0
