timestamp,ppg_raw,diff,classification
1773387422.210519,194657,,VALID
1773387422.300697,195169,512.0,VALID
1773387422.390392,195500,331.0,VALID
1773387422.51251,195629,129.0,VALID
1773387422.600582,195876,247.0,VALID
1773387422.6905322,194738,1138.0,VALID
1773387422.8107798,192393,2345.0,VALID
1773387422.900685,195990,3597.0,VALID
1773387422.9909718,195465,525.0,VALID
1773387423.1108742,197617,2152.0,VALID
1773387423.2007198,199736,2119.0,VALID
1773387423.32069,204015,4279.0,VALID
1773387423.4106162,204524,509.0,VALID
1773387423.500872,204560,36.0,VALID
1773387423.5888388,203827,733.0,VALID
1773387423.710679,203297,530.0,VALID
1773387423.8281431,202819,478.0,VALID
1773387423.890409,202885,66.0,VALID
1773387424.010682,202475,410.0,POSSIBLE_PHYS_CHANGE
1773387424.1013398,202359,116.0,VALID
1773387424.191345,202257,102.0,VALID
1773387424.31165,202248,9.0,VALID
1773387424.401369,202177,71.0,VALID
1773387424.4904058,202148,29.0,VALID
1773387424.6106272,202102,46.0,VALID
1773387424.7007182,202025,77.0,VALID
1773387424.7906408,201893,132.0,VALID
1773387424.910571,201200,693.0,VALID
1773387425.0007648,201862,662.0,VALID
1773387425.120801,193926,7936.0,VALID
1773387425.210805,211121,17195.0,VALID
1773387425.300758,218063,6942.0,VALID
1773387425.4207602,207530,10533.0,VALID
1773387425.510776,190355,17175.0,VALID
1773387425.600841,185723,4632.0,POSSIBLE_PHYS_CHANGE
1773387425.629274,5393,180330.0,POSSIBLE_PHYS_CHANGE
1773387425.6582751,8319,2926.0,VALID
1773387425.688659,12908,4589.0,VALID
1773387425.690175,19065,6157.0,VALID
1773387425.71856,37752,18687.0,VALID
1773387425.748008,87624,49872.0,POSSIBLE_PHYS_CHANGE
1773387425.749274,180665,93041.0,POSSIBLE_PHYS_CHANGE
1773387425.778442,234602,53937.0,POSSIBLE_PHYS_CHANGE
1773387425.80797,233899,703.0,VALID
1773387425.838243,248179,14280.0,VALID
1773387425.839305,244275,3904.0,VALID
1773387425.867786,232111,12164.0,VALID
1773387425.928399,210774,21337.0,POSSIBLE_PHYS_CHANGE
1773387425.929537,183566,27208.0,POSSIBLE_PHYS_CHANGE
1773387425.9296992,182676,890.0,VALID
1773387425.957658,178897,3779.0,VALID
1773387425.990113,185752,6855.0,VALID
1773387425.990454,218978,33226.0,POSSIBLE_PHYS_CHANGE
1773387426.0178938,234468,15490.0,VALID
1773387426.048563,238161,3693.0,VALID
1773387426.049178,224405,13756.0,VALID
1773387426.07796,203778,20627.0,POSSIBLE_PHYS_CHANGE
1773387426.1083992,200606,3172.0,VALID
1773387426.109272,198253,2353.0,VALID
1773387426.137745,197752,501.0,VALID
1773387426.168483,196841,911.0,VALID
1773387426.291021,190443,6398.0,VALID
1773387426.321669,212712,22269.0,POSSIBLE_PHYS_CHANGE
1773387426.350412,213793,1081.0,VALID
1773387426.378206,206659,7134.0,VALID
1773387426.379735,196795,9864.0,VALID
1773387426.408234,196784,11.0,VALID
1773387426.438146,197190,406.0,VALID
1773387426.439717,197623,433.0,VALID
1773387426.468447,198232,609.0,VALID
1773387426.620589,201223,2991.0,VALID
1773387426.711861,201473,250.0,VALID
1773387426.8027232,199603,1870.0,VALID
1773387426.9227068,185402,14201.0,VALID
1773387426.9236538,11279,174123.0,POSSIBLE_PHYS_CHANGE
1773387426.978621,10693,586.0,VALID
1773387426.979432,11254,561.0,VALID
1773387427.008374,11481,227.0,VALID
1773387427.009275,11830,349.0,VALID
1773387427.038409,12467,637.0,VALID
1773387427.068149,13558,1091.0,VALID
1773387427.069302,15021,1463.0,VALID
1773387427.098527,17512,2491.0,VALID
1773387427.1281269,20132,2620.0,POSSIBLE_PHYS_CHANGE
1773387427.158536,21806,1674.0,VALID
1773387427.1592882,23423,1617.0,VALID
1773387427.187734,26446,3023.0,VALID
1773387427.218552,30296,3850.0,VALID
1773387427.219286,36383,6087.0,VALID
1773387427.2478468,47235,10852.0,VALID
1773387427.2784991,63849,16614.0,VALID
1773387427.308125,72765,8916.0,VALID
1773387427.309108,77333,4568.0,VALID
1773387427.338466,76600,733.0,VALID
1773387427.368063,73492,3108.0,VALID
1773387427.370098,69430,4062.0,VALID
1773387427.398794,70562,1132.0,VALID
1773387427.4288971,76022,5460.0,VALID
1773387427.458448,89542,13520.0,VALID
1773387427.460006,108553,19011.0,VALID
1773387427.487708,121210,12657.0,VALID
1773387427.5184069,137572,16362.0,VALID
1773387427.548998,203624,66052.0,POSSIBLE_PHYS_CHANGE
1773387427.551002,258553,54929.0,POSSIBLE_PHYS_CHANGE
1773387427.579871,262140,3587.0,VALID
1773387427.60848,262140,0.0,VALID
1773387427.609357,262140,0.0,VALID
1773387427.638456,262140,0.0,VALID
1773387427.668084,262140,0.0,VALID
1773387427.6984608,262140,0.0,VALID
1773387427.69934,262140,0.0,VALID
